time=2026-09-24T15:43:59.838+08:00 level=INFO msg="no upstream keys yet; open the panel and add them, /healthz stays 503 until then"
time=2026-09-24T15:50:39.167+08:00 level=INFO msg=http component=server method=GET path=/v0/management/usage status=200 bytes=23 ip=127.0.0.1:62131 took=0s
time=2026-09-24T15:50:39.167+08:00 level=INFO msg=http component=server method=GET path=/v0/management/settings status=200 bytes=182 ip=127.0.0.1:4823 took=0s
time=2026-09-24T15:50:39.167+08:00 level=INFO msg=http component=server method=GET path=/v0/management/proxies status=200 bytes=14 ip=127.0.0.1:61307 took=0s
time=2026-09-24T15:50:42.158+08:00 level=INFO msg=http component=server method=GET path=/v0/management/stats status=200 bytes=231 ip=127.0.0.1:61307 took=0s
time=2026-09-24T15:50:42.158+08:00 level=INFO msg=http component=server method=GET path=/v0/management/keys status=200 bytes=11 ip=127.0.0.1:4823 took=0s
time=2026-09-24T15:50:42.158+08:00 level=INFO msg=http component=server method=GET path=/v0/management/api-keys status=200 bytes=93 ip=127.0.0.1:62131 took=0s
time=2026-09-24T15:50:42.158+08:00 level=INFO msg=http component=server method=GET path=/v0/management/usage status=200 bytes=23 ip=127.0.0.1:4124 took=0s
time=2026-09-24T15:50:42.158+08:00 level=INFO msg=http component=server method=GET path=/v0/management/proxies status=200 bytes=14 ip=127.0.0.1:29759 took=0s
time=2026-09-24T15:50:42.158+08:00 level=INFO msg=http component=server method=GET path=/v0/management/settings status=200 bytes=182 ip=127.0.0.1:35960 took=0s
time=2026-09-24T15:50:44.154+08:00 level=INFO msg=http component=server method=GET path=/v0/management/stats status=200 bytes=231 ip=127.0.0.1:35960 took=0s
time=2026-09-24T15:50:44.154+08:00 level=INFO msg=http component=server method=GET path=/v0/management/keys status=200 bytes=11 ip=127.0.0.1:29759 took=0s
time=2026-09-24T15:50:44.155+08:00 level=INFO msg=http component=server method=GET path=/v0/management/api-keys status=200 bytes=93 ip=127.0.0.1:4124 took=1ms
time=2026-09-24T15:50:44.155+08:00 level=INFO msg=http component=server method=GET path=/v0/management/usage status=200 bytes=23 ip=127.0.0.1:62131 took=0s
time=2026-09-24T15:50:44.155+08:00 level=INFO msg=http component=server method=GET path=/v0/management/proxies status=200 bytes=14 ip=127.0.0.1:4823 took=0s
time=2026-09-24T15:50:44.155+08:00 level=INFO msg=http component=server method=GET path=/v0/management/settings status=200 bytes=182 ip=127.0.0.1:61307 took=0s
time=2026-09-24T15:50:47.154+08:00 level=INFO msg=http component=server method=GET path=/v0/management/stats status=200 bytes=231 ip=127.0.0.1:61307 took=0s
time=2026-09-24T15:50:47.155+08:00 level=INFO msg=http component=server method=GET path=/v0/management/usage status=200 bytes=23 ip=127.0.0.1:4124 took=0s
time=2026-09-24T15:50:47.155+08:00 level=INFO msg=http component=server method=GET path=/v0/management/keys status=200 bytes=11 ip=127.0.0.1:4823 took=0s
time=2026-09-24T15:50:47.155+08:00 level=INFO msg=http component=server method=GET path=/v0/management/api-keys status=200 bytes=93 ip=127.0.0.1:62131 took=0s
time=2026-09-24T15:50:47.155+08:00 level=INFO msg=http component=server method=GET path=/v0/management/proxies status=200 bytes=14 ip=127.0.0.1:29759 took=0s
time=2026-09-24T15:50:47.157+08:00 level=INFO msg=http component=server method=GET path=/v0/management/settings status=200 bytes=182 ip=127.0.0.1:35960 took=0s
time=2026-09-24T15:50:49.145+08:00 level=INFO msg=http component=server method=GET path=/v0/management/stats status=200 bytes=231 ip=127.0.0.1:35960 took=0s
time=2026-09-24T15:50:49.146+08:00 level=INFO msg=http component=server method=GET path=/v0/management/keys status=200 bytes=11 ip=127.0.0.1:29759 took=0s
time=2026-09-24T15:50:49.146+08:00 level=INFO msg=http component=server method=GET path=/v0/management/api-keys status=200 bytes=93 ip=127.0.0.1:62131 took=0s
time=2026-09-24T15:50:49.146+08:00 level=INFO msg=http component=server method=GET path=/v0/management/usage status=200 bytes=23 ip=127.0.0.1:4823 took=0s
time=2026-09-24T15:50:49.146+08:00 level=INFO msg=http component=server method=GET path=/v0/management/proxies status=200 bytes=14 ip=127.0.0.1:4124 took=0s
time=2026-09-24T15:50:49.146+08:00 level=INFO msg=http component=server method=GET path=/v0/management/settings status=200 bytes=182 ip=127.0.0.1:61307 took=0s
time=2026-09-24T15:50:52.162+08:00 level=INFO msg=http component=server method=GET path=/v0/management/stats status=200 bytes=231 ip=127.0.0.1:61307 took=0s
time=2026-09-24T15:50:52.163+08:00 level=INFO msg=http component=server method=GET path=/v0/management/usage status=200 bytes=23 ip=127.0.0.1:62131 took=0s
time=2026-09-24T15:50:52.163+08:00 level=INFO msg=http component=server method=GET path=/v0/management/keys status=200 bytes=11 ip=127.0.0.1:4124 took=1ms
time=2026-09-24T15:50:52.163+08:00 level=INFO msg=http component=server method=GET path=/v0/management/api-keys status=200 bytes=93 ip=127.0.0.1:4823 took=0s
time=2026-09-24T15:50:52.163+08:00 level=INFO msg=http component=server method=GET path=/v0/management/proxies status=200 bytes=14 ip=127.0.0.1:29759 took=0s
time=2026-09-24T15:50:52.163+08:00 level=INFO msg=http component=server method=GET path=/v0/management/settings status=200 bytes=182 ip=127.0.0.1:35960 took=0s
time=2026-09-24T15:50:54.157+08:00 level=INFO msg=http component=server method=GET path=/v0/management/stats status=200 bytes=231 ip=127.0.0.1:35960 took=0s
time=2026-09-24T15:50:54.158+08:00 level=INFO msg=http component=server method=GET path=/v0/management/keys status=200 bytes=11 ip=127.0.0.1:29759 took=0s
time=2026-09-24T15:50:54.158+08:00 level=INFO msg=http component=server method=GET path=/v0/management/api-keys status=200 bytes=93 ip=127.0.0.1:4823 took=0s
time=2026-09-24T15:50:54.158+08:00 level=INFO msg=http component=server method=GET path=/v0/management/usage status=200 bytes=23 ip=127.0.0.1:4124 took=0s
time=2026-09-24T15:50:54.158+08:00 level=INFO msg=http component=server method=GET path=/v0/management/proxies status=200 bytes=14 ip=127.0.0.1:62131 took=0s
time=2026-09-24T15:50:54.158+08:00 level=INFO msg=http component=server method=GET path=/v0/management/settings status=200 bytes=182 ip=127.0.0.1:61307 took=0s
time=2026-09-24T15:50:57.158+08:00 level=INFO msg=http component=server method=GET path=/v0/management/stats status=200 bytes=231 ip=127.0.0.1:61307 took=0s
time=2026-09-24T15:50:57.158+08:00 level=INFO msg=http component=server method=GET path=/v0/management/keys status=200 bytes=11 ip=127.0.0.1:62131 took=0s
time=2026-09-24T15:50:57.158+08:00 level=INFO msg=http component=server method=GET path=/v0/management/api-keys status=200 bytes=93 ip=127.0.0.1:4124 took=0s
